filename,word,pinyin,example,meaning
108_1.mp3,"遗","yí","邻人京城氏之孀妻有遗男","遗留，留下"
108_2.mp3,"遗","wèi","是以先帝简拔以遗陛下","wèi 留给，送给，馈赠"
109_1.mp3,"贻","yí","尝贻余核舟一","赠给"
110_1.mp3,"夷","yí","其船背稍夷","平坦"
110_2.mp3,"夷","yí","言和而色夷","平易"
111_1.mp3,"异","yì","所以然者何？水土异已","不同，不同的"
111_2.mp3,"异","yì","览物之情，得无异乎","不同的"
111_3.mp3,"异","yì","奇山异水，天下独绝","特别的，奇特的，奇怪的"
112_1.mp3,"易","yì","天下事有难易乎","容易"
112_2.mp3,"易","yì","寒暑易节，始一反焉","交换，更换"
113_1.mp3,"诣","yì","酒酣，吏二缚一人诣王","到，去（拜访）"
114_1.mp3,"益","yì","所以动心忍性，增益其所不能","增长，增加"
114_2.mp3,"益","yì","必能裨补阙漏，有所广益","好处，利益"
114_3.mp3,"益","yì","香远益清","更，更加"
115_1.mp3,"阴","yīn","达于汉阴，可乎","山之北，水之南"
115_2.mp3,"阴","yīn","朝晖夕阴，气象万千","阴沉，阴冷"
115_3.mp3,"阴","yīn","野芳发而幽香，佳木秀而繁阴","阴影"
116_1.mp3,"引","yǐn","不宜妄自菲薄，引喻失义","称引"
116_2.mp3,"引","yǐn","友人惭，下车引之","牵，拉"
116_3.mp3,"引","yǐn","属引凄异","延长"
117_1.mp3,"盈","yíng","而计其长，曾不盈寸","满，充满"
117_2.mp3,"盈","yíng","彼竭我盈，故克之","增长，旺盛"
118_1.mp3,"余","yú","尝贻余核舟一","我，我的"
118_2.mp3,"余","yú","以残年余力","剩下，多余"
118_3.mp3,"余","yú","邹忌修八尺有余","多，表示整数后的不确定零数"
119_1.mp3,"狱","yù","小大之狱","诉讼案件"
120_1.mp3,"御","yù","虽乘奔御风，不以疾也","驾驭"
121_1.mp3,"缘","yuán","缘溪行，忘路之远近","沿着，顺着"
122_1.mp3,"远","yuǎn","可远观而不可亵玩也","遥远（指空间距离大）"
122_2.mp3,"远","yuǎn","亲贤臣，远小人","疏远，不亲近，不接近"
123_1.mp3,"云","yún","孔子云：何陋之有","说"
123_2.mp3,"云","yún","高峰入云，清流见底","天空里的云，云彩"
124_1.mp3,"章","zhāng","又用篆章一","印章"
125_1.mp3,"知","zhī","西蜀之去南海，不知几千里也","知道"
125_2.mp3,"知","zhī","汝亦知射乎","懂得"
125_3.mp3,"知","zhì","孰为女多知乎！","通智。聪明，智慧"
